COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130,COL131,COL132,COL133,COL134,COL135,COL136,COL137,COL138,COL139,COL140,COL141
1,234,1,1,2,3,4,7,4,6,2,2,4,1,1,2,1,32,2,1,2,3,4,1,3,3,1,3,2,1,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,,223,4000,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,2,2,2,1,1,2,1,2,1,2,10,5,3,3,3,3,3,3,316
1,234,2,1,3,4,2,6,0,0,0,0,0,1,2,0,0,27,3,3,3,3,5,1,3,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,,223,4000,2,1,1,1,1,0,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,1,2,0,1,2,2,0,2,2,2,2,1,1,1,2,2,2,3,3,2,3,3,50,8,3,3,3,3,3,1,315
1,234,3,1,2,2,2,7,0,0,0,0,0,1,1,2,3,52,2,1,1,2,5,2,3,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,,223,4000,3,1,1,2,2,2,1,2,1,2,2,2,1,0,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,1,0,2,1,1,1,1,20,3,3,3,3,3,3,1,809
1,234,4,1,3,2,3,4,0,0,0,0,0,1,2,0,0,20,1,2,2,4,1,1,3,2,1,2,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,,223,4000,4,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,3,1,1,50,5,2,3,3,2,3,2,512
1,234,5,1,1,3,1,3,3,3,3,1,5,1,1,1,3,18,2,1,1,1,1,3,3,2,1,2,1,1,1,3,1,2,2,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,,223,4000,5,1,1,1,1,2,2,1,2,1,1,1,0,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,3,2,1,1,20,2,3,3,3,3,3,2,708
1,234,6,1,3,1,1,4,3,4,2,1,5,1,1,1,1,27,2,1,1,1,1,3,3,2,1,3,2,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,1,,223,4000,6,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,3,10,4,3,3,3,3,3,1,311
1,234,7,1,2,2,1,4,3,4,2,1,5,1,1,2,1,41,2,0,1,3,5,10,3,3,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,2,2,1,1,2,1,2,1,2,,223,4000,7,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,2,2,1,2,2,1,1,2,10,6,3,3,4,3,3,1,305
1,234,8,1,3,1,1,5,3,3,3,1,5,1,1,1,3,15,2,1,1,2,4,1,3,2,3,2,2,1,2,1,1,2,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,2,1,,223,4000,8,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,20,6,3,3,3,3,3,1,707
1,234,9,1,2,1,1,5,3,9,1,1,5,2,2,0,0,16,2,1,1,3,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1,1,2,1,2,2,2,1,,223,4000,9,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,0,2,2,2,2,1,2,1,1,1,2,1,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,50,7,3,3,4,3,3,2,210
1,234,10,1,1,3,1,5,3,2,2,1,5,1,1,2,3,23,2,1,2,3,1,3,3,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1,,223,4001,0,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,10,4,3,3,0,3,3,2,708
