CARD.  1. CARD ONE 
DECK.  127. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. TECHNICIAN 5TH GRADE OR CORPORAL 4. TECHNICIAN 4TH GRADE OR SERGEANT 5. TECHNICIAN 3RD GRADE OR STAFF SERGEANT 6. TECHNICAL SERGEANT 7. MASTER SERGEANT OR FIRST SERGEANT 8. OTHER 0. NO ANSWER 
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OR LESS 02. 19 YEARS 03. 20 04. 21 05. 22 06. 23 07. 24 08. 25 09. 26-29 YEARS 10. 30-34 YEARS 11. 35 YEARS AND OVER 00. NO ANSWER 
Q.3. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
"Q.4. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY* E. REGION:  01. NEW ENGLAND 02. MIDDLE ATLANTIC 03. EAST NORTH CENTRAL 04. WEST NORTH CENTRAL 05. SOUTH ATLANTIC 06. EAST SOUTH CENTRAL 07. WEST SOUTH CENTRAL 08. MOUNTAIN 09. PACIFIC 10. FOREIGN, NOT U.S. 00. NO ANSWER "
"Q.5. WHERE WERE YOU LIVING MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY*  1. ON A FARM OR IN THE COUNTRY 2. IN A SMALL TOWN (FEWER THAN 2,500 PEOPLE) 3. IN A TOWN (WITH BETWEEN 2,500 AND 25,000 PEOPLE) 4. IN A CITY (BETWEEN 25,000 AND 100,000 PEOPLE) 5. IN A LARGE CITY (MORE THAN 100,000 PEOPLE) 6. NO ANSWER 0. NO CODE OR NO DATA X. QUESTIONS 6 AND 7 TO BE CODED TOGETHER. "
"Q.6. ARE YOU SINGLE, MARRIED, DIVORCED OR SEPARATED, OR WIDOWED* F. IF MARRIED:  Q.7. WERE YOU MARRIED BEFORE OR AFTER ENTERING THE ARMY*  1. SINGLE 2. DIVORCED OR SEPARATED 3. WIDOWED 4. MARRIED BEFORE ENTERING THE ARMY 5. MARRIED AFTER ENTERING THE ARMY 6. MARRIED IN Q.6, NO ANSWER IN Q.7 0. NO ANSWER "
"Q.8. HOW MANY CHILDREN DO YOU HAVE*  1. I,M NOT MARRIED 2. HAVE NO CHILDREN 3. HAVE ONE CHILD 4. HAVE TWO CHILDREN 5. HAVE THREE OR MORE CHILDREN 0. NO ANSWER "
Q.9. HOW DID YOU COME INTO THE ARMY*  1. I WAS DRAFTED 2. I VOLUNTEERED 3. I WAS IN THE NATIONAL GUARD 0. NO ANSWER 
