CARD.  1. CARD ONE 
DECK.  146. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  1. PRIVATE 2. PRIVATE FIRST CLASS 3. TECHNICIAN 5TH GRADE OR CORPORAL 4. TECHNICIAN 4TH GRADE OR SERGEANT 5. TECHNICIAN 3RD GRADE OR STAFF SERGEANT 6. TECHNICAL SERGEANT 7. MASTER SERGEANT OR FIRST SERGEANT 0. NO ANSWER 
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OR LESS 02. 19 YEARS 03. 20 YEARS 04. 21 YEARS 05. 22 YEARS 06. 23 YEARS 07. 24 YEARS 08. 25 YEARS 09. 26 THRU 29 YEARS 10. 30 THRU 34 YEARS 11. 35 YEARS OR MORE 00. NO ANSWER 
Q.3. HOW FAR DID YOU GO IN SCHOOL*  1. LESS THAN 6TH GRADE 2. FINISHED 6TH GRADE 3. FINISHED 7TH GRADE 4. FINISHED 8TH GRADE 5. SOME HIGH SCHOOL BUT DID NOT FINISH 6. GRADUATED FROM HIGH SCHOOL 7. SOME COLLEGE BUT DID NOT FINISH 8. GRADUATED FROM COLLEGE 0. NO ANSWER 
Q.4. IN WHAT STATE OF THE UNITED STATES DID YOU SPEND MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY* E. SECTION:  1. NEW ENGLAND 2. MIDDLE ATLANTIC 3. EAST NORTH CENTRAL 4. WEST NORTH CENTRAL 5. SOUTH ATLANTIC 6. EAST SOUTH CENTRAL 7. WEST SOUTH CENTRAL 8. MOUNTAIN 9. PACIFIC 0. NO ANSWER 
"Q.5. WHERE WERE YOU LIVING MOST OF THE LAST FIVE YEARS OF YOUR CIVILIAN LIFE BEFORE YOU CAME INTO THE ARMY*  1. ON A FARM OR IN THE COUNTRY 2. IN A SMALL TOWN (FEWER THAN 2,500 PEOPLE) 3. IN A TOWN (WITH BETWEEN 2,500 AND 25,000 PEOPLE) 4. IN A CITY (BETWEEN 25,000 AND 100,000 PEOPLE) 5. IN A LARGE CITY (MORE THAN 100,000 PEOPLE) 0. NO ANSWER X. QUESTIONS 6 AND 7 TO BE CODED TOGETHER. "
"Q.6. ARE YOU SINGLE, MARRIED, DIVORCED OR SEPARATED OR WIDOWED* F. IF MARRIED:  Q.7. WERE YOU MARRIED BEFORE OR AFTER ENTERING THE ARMY*  1. SINGLE 2. DIVORCED OR SEPARATED 3. WIDOWED 4. MARRIED BEFORE ENTERING THE ARMY 5. MARRIED AFTER ENTERING THE ARMY 6. MARRIED, NO INDICATION WHEN 0. NO ANSWER "
"Q.8. HOW MANY CHILDREN DO YOU HAVE*  1. I,M NOT MARRIED 2. HAVE NO CHILDREN 3. HAVE ONE CHILD 4. HAVE TWO CHILDREN 5. HAVE THREE OR MORE CHILDREN 0. NO ANSWER "
Q.9. HOW DID YOU COME INTO THE ARMY*  1. I WAS DRAFTED 2. I VOLUNTEERED 3. I WAS IN THE NATIONAL GUARD 4. ERC - ROTC - RAR 0. NO ANSWER 
Q.10. HOW LONG HAVE YOU BEEN IN THE ARMY*  1. 6 MONTHS OR LESS 2. OVER 6 MONTHS UP TO 9 MONTHS 3. OVER 9 MONTHS UP TO 1 YEAR 4. OVER 1 YEAR UP TO 2 YEARS 5. OVER 2 YEARS UP TO 3 YEARS 6. OVER 3 YEARS 0. NO ANSWER 
Q.11. HOW LONG HAVE YOU BEEN IN THE CHINA-BURMA-INDIA THEATER*  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 18 MONTHS 6. OVER 18 MONTHS 0. NO ANSWER 
Q.12. HOW LONG HAVE YOU BEEN STATIONED AT THIS PARTICULAR PLACE*  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR 0. NO ANSWER 
Q.13. WHAT BRANCH OF THE ARMY ARE YOU IN NOW*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. FINANCE 09. COAST ARTILLERY AND ANTI-AIRCRAFT 10. AIR CORPS 11. TRANSPORTATION CORPS 12. ORDNANCE DEPARTMENT 13. CHEMICAL WARFARE SERVICE 14. MILITARY POLICE 15. D.E.M.L. 16. OTHER 00. NO ANSWER X. QUESTION 14 NOT CODED. 
"Q.15. IN GENERAL, HOW WOULD YOU SAY YOU FEEL MOST OF THE TIME, IN GOOD SPIRITS OR IN LOW SPIRITS*  1. I AM USUALLY IN GOOD SPIRITS 2. I AM IN GOOD SPIRITS SOME OF THE TIME AND IN LOW SPIRITS SOME OF THE TIME 3. I AM USUALLY IN LOW SPIRITS 0. NO ANSWER "
"Q.16. IF IT WERE UP TO YOU TO CHOOSE, DO YOU THINK YOU COULD DO MORE FOR YOUR COUNTRY AS A SOLDIER OR AS A WORKER IN A WAR JOB*  1. AS A SOLDIER 2. AS A WAR WORKER 3. UNDECIDED 0. NO ANSWER X. QUESTION 17 NOT CODED. "
Q.18. SINCE YOU HAVE BEEN AT THIS STATION HAVE YOU BEEN ABLE TO FIND INTERESTING THINGS TO DO ON YOUR OFF-DUTY FREE TIME*  1. I CAN USUALLY FIND INTERESTING THINGS TO DO 2. I CAN FIND INTERESTING THINGS TO DO ABOUT HALF OF THE TIME 3. I CAN VERY SELDOM FIND INTERESTING THINGS TO DO 0. NO ANSWER 
Q.19. HOW GOOD A JOB DO YOU THINK THE ARMY IS DOING IN PROVIDING RECREATION AND ENTERTAINMENT FOR THE MEN IN YOUR OUTFIT*  1. A VERY GOOD JOB 2. A FAIRLY GOOD JOB 3. A PRETTY POOR JOB 4. A VERY POOR JOB 0. NO ANSWER 
"Q.20. DO YOU THINK YOUR OFFICERS ARE DOING ALL THEY CAN TO SEE THAT THE MEN IN YOUR OUTFIT HAVE INTERESTING THINGS TO DO IN THEIR OFF-DUTY FREE TIME*  1. YES, THEY ARE DOING ALL THEY CAN 2. NO, THEY ARE NOT DOING ALL THEY CAN 3. UNDECIDED 0. NO ANSWER X. QUESTION 21 NOT CODED. "
