CARD.  1. CARD ONE 
DECK.  172. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. FORM A QUESTIONNAIRE 2. FORM B QUESTIONNAIRE 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE* (PUT A CHECK IN FRONT OF THE ANSWER SHOWING YOUR PRESENT GRADE.)  1. PRIVATE OR PRIVATE FIRST CLASS 2. CORPORAL OR TECHNICIAN 5TH GRADE 3. SERGEANT OR TECHNICIAN 4TH GRADE 4. 1ST THREE GRADES 0. NO ANSWER 
Q.2. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 18 YEARS OLD 02. 19 YEARS OLD 03. 20 YEARS OLD 04. 21 YEARS OLD 05. 22 YEARS OLD 06. 23 YEARS OLD 07. 24 YEARS OLD 08. 25 YEARS OLD 09. 26-29 YEARS OLD 10. 30-34 YEARS OLD 11. 35 AND OVER 00. NO ANSWER 
Q.3. HOW FAR DID YOU GO IN SCHOOL*  1. DID NOT FINISH GRADE SCHOOL 2. GRADUATED FROM GRADE SCHOOL 3. SOME HIGH SCHOOL BUT DID NOT GRADUATE 4. GRADUATED FROM HIGH SCHOOL 5. WENT TO COLLEGE 6. NO ANSWER 0. NO CODE OR NO DATA 
Q.4. HOW DID YOU COME INTO THE ARMY*  1. I VOLUNTEERED FOR THE REGULAR ARMY 2. I VOLUNTEERED THROUGH SELECTIVE SERVICE 3. I WAS IN THE NATIONAL GUARD 4. I WAS DRAFTED 5. SOME OTHER WAY 0. NO ANSWER 
Q.5. WERE YOU SENT BACK TO THE STATES UNDER THE ROTATION PLAN OR FOR SOME OTHER REASON*  1. I WAS SENT BACK UNDER THE ROTATION PLAN 2. I WAS SENT BACK FOR SOME OTHER REASON 0. NO ANSWER 
Q.6. HOW LONG WERE YOU OVERSEAS* (COUNT FROM THE TIME YOU LEFT THE STATES UNTIL YOU RETURNED.)  1. 12 MONTHS OR LESS 2. OVER 12 MONTHS TO 18 MONTHS 3. OVER 18 MONTHS TO 24 MONTHS 4. OVER 24 MONTHS TO 30 MONTHS 5. OVER 30 MONTHS TO 36 MONTHS 6. OVER 36 MONTHS 0. NO ANSWER 
Q.7. WHAT WAS THE BRANCH OF SERVICE THAT YOU WERE LAST IN WHILE YOU WERE OVERSEAS*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY 09. ANTI-AIRCRAFT 10. AIR CORPS 11. TRANSPORTATION CORPS 12. ORDNANCE DEPARTMENT 13. CHEMICAL WARFARE SERVICE 14. MILITARY POLICE 15. TANK DESTROYER 16. OTHER 00. NO ANSWER 
"Q.8. IN WHAT OVERSEAS THEATER OR AREA DID YOU LAST SERVE* (CHECK THE ONE IN WHICH YOU WERE LAST ON DUTY.)  01. EUROPEAN THEATRE (BRITISH ISLES, FRANCE) 02. MEDITERRANEAN THEATRE (ITALY, NORTH AFRICA) 03. CARIBBEAN, PANAMA 04. SOUTHWEST PACIFIC AREA (AUSTRALIA, NEW GUINEA) 05. SOUTH PACIFIC BASE COMMAND (NEW CALEDONIA, GUADALCANAL, ETC.) 06. CENTRAL PACIFIC BASE COMMAND (HAWAII, KWAJALEIN, SAIPAN, ETC.) 07. ALASKA, ALEUTIANS 08. MIDDLE EAST (CAIRO, PALESTINE, IRAN) 09. CHINA, BURMA, INDIA 10. OTHER PLACE 00. NO ANSWER "
Q.9. WAS THIS THE OVERSEAS THEATER OR AREA YOU SERVED IN LONGEST*  1. YES 2. NO 0. NO ANSWER 
"Q.10. HAVE YOU BEEN IN COMBAT OR UNDER ENEMY FIRE IN THIS WAR*  1. NO 2. YES, I HAVE BEEN UNDER ENEMY FIRE, BUT NOT IN ACTUAL COMBAT 3. YES, I HAVE BEEN IN ACTUAL COMBAT 0. NO ANSWER X. QUESTIONS 11A AND 11B CODED TOGETHER. "
"Q.11A. DID YOU SEE ANY EVIDENCE IN YOUR OVERSEAS AREA THAT REPLACEMENT DEPOTS WERE NOT RUN AS WELL AS THEY COULD HAVE BEEN UNDER THE CIRCUMSTANCES* (NO, I DID NOT SEE ANY EVIDENCE OF THIS; YES, I SAW SOME EVIDENCE OF THIS, BUT NOT MUCH; YES, I SAW LOTS OF EVIDENCE OF THIS)  Q.11B. HOW MUCH DID SEEING THIS BOTHER YOU* (VERY MUCH; QUITE A BIT; NOT SO MUCH; NOT AT ALL; I DID NOT SEE ANY EVIDENCE OF THIS)  01. NO TO PART A, ANY ANSWER TO PART B 02. YES, SOME AND VERY MUCH 03. YES, SOME AND QUITE A BIT 04. YES, SOME AND NOT SO MUCH 05. YES, SOME AND NOT AT ALL 06. YES, LOTS AND VERY MUCH 07. YES, LOTS AND QUITE A BIT 08. YES, LOTS AND NOT SO MUCH 09. YES, LOTS AND NOT AT ALL 10. NO ANSWER ON BOTH A AND B 11. YES, SOME AND NO ANSWER 12. YES, LOTS AND NO ANSWER X. QUESTIONS 12A AND 12B CODED TOGETHER. "
"Q.12A. DO YOU KNOW OF ANY MEN IN YOUR OVERSEAS AREA WHO WERE NOT GIVEN A FAIR CHANCE FOR ROTATION BACK TO THE STATES* (NO, I DO NOT KNOW OF ANY SUCH MEN; YES, I KNOW OF SOME MEN, BUT NOT MANY; YES, I KNOW OF MANY SUCH MEN)  Q.12B. HOW MUCH DID KNOWING ABOUT THIS BOTHER YOU* (VERY MUCH; QUITE A BIT; NOT SO MUCH; NOT AT ALL; I DO NOT KNOW OF ANY SUCH MEN)  01. NO TO PART A, ANY ANSWER TO PART B 02. YES, SOME AND VERY MUCH 03. YES, SOME AND QUITE A BIT 04. YES, SOME AND NOT SO MUCH 05. YES, SOME AND NOT AT ALL 06. YES, LOTS AND VERY MUCH 07. YES, LOTS AND QUITE A BIT 08. YES, LOTS AND NOT SO MUCH 09. YES, LOTS AND NOT AT ALL 10. NO ANSWER ON BOTH A AND B 11. YES, SOME AND NO ANSWER 12. YES, LOTS AND NO ANSWER X. QUESTIONS 13A AND 13B CODED TOGETHER. "
