COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122,COL123,COL124,COL125,COL126,COL127,COL128,COL129,COL130,COL131,COL132,COL133,COL134,COL135,COL136,COL137,COL138,COL139,COL140,COL141,COL142,COL143,COL144,COL145,COL146,COL147
1,131,1,2,12,9,11,6,1,0,1,4,5,5,5,4,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,6,2,4,4,2,3,3,2,1,3,3,2,1,3,3,3,3,1,2,3,2,2,4,1,3,1,3,2,2,1,2,3,2,2,2,2,2,131,1,2,3,4,2,2,6,1,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2,2,3,2,2,1,2,2,1,2,1,1,4,1,3,2,3,2,2,2,2,1,2,0,0,,,,,
1,131,2,1,12,9,11,1,1,0,1,4,6,3,0,5,1,0,3,2,1,3,1,3,2,2,3,1,1,3,1,1,3,2,2,1,2,5,4,5,2,2,2,12,2,12,2,1,3,3,2,2,5,6,4,5,5,2,1,3,4,1,1,6,3,0,3,1,1,2,2,2,131,2,5,0,0,3,1,2,2,2,2,1,2,5,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,5,5,2,2,4,2,2,2,1,2,1,2,2,2,4,1,4,5,5,5,5,2,2,2,0,0,5,,,,,
1,131,3,1,12,5,11,1,3,5,1,4,3,3,1,1,1,1,3,3,3,1,3,3,1,3,3,3,3,2,1,5,2,2,3,2,3,2,1,2,3,2,2,11,2,11,2,3,2,4,3,1,5,4,3,3,3,5,2,3,0,3,2,6,4,0,1,0,0,1,4,2,131,3,2,2,5,2,7,6,4,4,4,2,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,6,4,4,4,5,4,4,4,4,3,2,4,3,3,4,1,3,3,4,4,4,4,2,2,2,0,0,5,,,,,
1,131,4,4,3,7,3,5,1,5,1,3,1,1,1,2,3,2,2,2,1,1,2,1,1,2,3,2,1,3,1,2,1,2,1,1,1,3,3,2,4,2,2,1,3,3,3,1,3,3,2,2,1,2,1,1,1,2,3,1,2,1,2,1,1,1,3,2,1,1,2,2,131,4,2,2,2,1,2,2,2,2,4,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,3,1,2,2,2,2,3,4,1,2,2,1,1,2,2,2,5,5,5,5,4,5,1,3,0,0,,,,,
1,131,5,3,9,7,3,4,1,5,1,3,1,1,1,2,3,4,2,3,1,1,2,1,2,1,1,2,1,1,2,4,2,4,1,1,1,4,4,1,3,2,2,1,3,4,3,1,2,2,3,5,3,4,1,2,3,2,2,1,2,1,2,5,2,1,2,3,3,2,1,2,131,5,4,5,5,2,1,2,2,1,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,3,4,3,3,4,1,1,1,2,4,1,1,4,1,3,2,1,2,1,4,5,1,3,0,0,,,,,
1,131,6,3,2,2,6,1,1,5,1,3,1,1,1,1,3,3,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,4,2,1,4,2,2,1,2,3,3,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,3,1,1,3,1,1,2,2,2,131,6,1,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,3,1,1,1,1,2,2,2,1,1,4,1,3,1,2,3,2,4,5,1,3,0,0,,,,,
1,131,7,3,3,5,2,5,1,5,1,3,1,1,1,2,3,2,2,3,2,3,1,2,4,3,3,1,1,2,3,4,2,4,1,1,2,4,4,2,4,3,2,8,3,2,2,1,1,1,2,3,1,4,1,3,2,2,2,1,1,1,3,5,1,2,2,3,2,4,4,2,131,7,5,5,2,3,1,2,3,2,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,2,3,3,2,3,1,3,2,3,1,1,1,4,1,2,3,1,3,3,4,5,1,3,0,0,,,,,
1,131,8,3,3,5,2,5,1,5,1,3,1,1,1,1,3,2,2,3,2,1,2,2,2,1,1,1,2,1,1,4,2,3,3,2,1,3,2,2,3,2,2,1,3,3,3,2,1,3,2,3,2,2,1,3,4,2,2,1,3,1,2,2,2,1,2,2,1,1,2,2,131,8,3,1,2,1,1,5,1,3,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,3,1,3,2,3,3,1,1,4,1,1,4,2,4,4,4,5,1,3,0,0,,,,,
1,131,9,3,9,4,2,5,1,5,1,3,1,1,1,2,3,6,3,3,2,1,2,2,2,1,1,2,2,3,2,3,2,3,1,1,2,4,4,3,3,2,2,3,3,4,3,2,1,3,2,3,2,3,2,3,4,4,4,3,2,1,3,4,2,1,2,3,3,3,2,2,131,9,3,4,3,1,1,1,1,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,2,1,2,4,2,1,1,4,2,4,3,1,1,2,4,5,1,3,0,0,,,,,
1,131,10,3,4,3,5,1,1,5,1,3,1,1,1,2,3,2,1,4,3,1,2,1,3,1,1,2,2,3,2,3,2,3,1,2,3,4,4,2,3,2,2,2,3,2,2,2,1,3,1,3,1,4,2,3,2,4,1,1,3,3,2,3,2,2,1,2,1,2,3,2,131,10,3,5,4,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,2,4,2,3,4,1,3,2,3,2,1,1,4,1,1,4,2,4,2,4,5,1,3,0,0,,,,,
