CARD.  1. CARD ONE 
DECK.  194. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
Q.1. WHAT IS YOUR ARMY RANK OR GRADE*  01. PRIVATE 02. PRIVATE FIRST CLASS 03. TECHNICIAN 5TH GRADE 04. CORPORAL 05. TECHNICIAN 4TH GRADE 06. BUCK SERGEANT 07. TECHNICIAN 3RD GRADE 08. STAFF SERGEANT 09. TECHNICAL SERGEANT 10. MASTER SERGEANT OR 1ST SERGEANT 11. OTHER 00. NO ANSWER 
Q.2. HOW LONG HAVE YOU HELD YOUR PRESENT RANK*  1. 1 MONTH OR LESS 2. OVER 1 MONTH UP TO AND INCLUDING 3 MONTHS 3. OVER 3 MONTHS UP TO AND INCLUDING 6 MONTHS 4. OVER 6 MONTHS UP TO AND INCLUDING 9 MONTHS 5. OVER 9 MONTHS UP TO AND INCLUDING 1 YEAR 6. OVER 1 YEAR UP TO AND INCLUDING 18 MONTHS 7. OVER 18 MONTHS UP TO AND INCLUDING 2 YEARS 8. OVER 2 YEARS 0. NO ANSWER 
Q.3. HOW OLD WERE YOU ON YOUR LAST BIRTHDAY*  01. 20 YEARS 02. 21 YEARS 03. 22 YEARS 04. 23 YEARS 05. 24 YEARS 06. 25 YEARS 07. 26-29 YEARS 08. 30-34 YEARS 09. 35-39 YEARS 10. 40 YEARS AND OVER 00. NO ANSWER X. QUESTIONS 4 AND 5 CODED TOGETHER. 
"Q.4. ARE YOU SINGLE, MARRIED, DIVORCED, SEPARATED, OR WIDOWED* F. IF MARRIED:  Q.5. WERE YOU MARRIED BEFORE OR AFTER ENTERING THE WAC OR WAAC*  1. SINGLE, AND ENGAGED TO BE MARRIED 2. SINGLE, AND NOT ENGAGED TO BE MARRIED 3. DIVORCED, SEPARATED, OR WIDOWED 4. MARRIED BEFORE 5. MARRIED AFTER 6. MARRIED, NO INDICATION WHEN 0. NO ANSWER "
"Q.6. IF YOU ARE MARRIED, WHERE IS YOUR HUSBAND STATIONED* IF YOUR HUSBAND IS STATIONED OVERSEAS, HOW LONG HAS HE BEEN OVERSEAS*  1. MY HUSBAND IS STATIONED OVERSEAS 2. MY HUSBAND IS STATIONED OVERSEAS, LESS THAN 18 MONTHS 3. MY HUSBAND IS STATIONED OVERSEAS, 18 MONTHS OR MORE 4. MY HUSBAND IS STATIONED ON THIS POST 5. MY HUSBAND IS STATIONED ON SOME OTHER POST IN THE UNITED STATES 6. MY HUSBAND IS STATIONED SOMEWHERE ELSE 7. MY HUSBAND IS NOT IN THE MILITARY SERVICE 8. I,M NOT MARRIED 0. NO ANSWER "
"Q.7. IF YOU ARE MARRIED, ARE YOU LIVING AWAY FROM THE POST*  1. YES 2. NO 3. I,M NOT MARRIED 0. NO ANSWER "
Q.8. HOW CLOSE ARE YOU TO HOME*  1. CLOSE ENOUGH TO GO HOME OVERNIGHT 2. CLOSE ENOUGH TO GO HOME OVER THE WEEK-END 3. CLOSE ENOUGH TO GO HOME ON A THREE DAY PASS 4. NEED MORE THAN A THREE DAY PASS IN ORDER TO GO HOME 0. NO ANSWER 
Q.9. WERE YOU IN THE WAAC BEFORE IT BECAME THE WAC*  1. YES 2. NO 0. NO ANSWER 
Q.10. HOW LONG HAVE YOU BEEN IN THE WAC OR WAAC*  1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 1 YEAR 4. OVER 1 YEAR UP TO 2 YEARS 5. OVER 2 YEARS 0. NO ANSWER 
Q.11. HOW LONG HAVE YOU BEEN AT THE POST WHERE YOU ARE NOW STATIONED*  1. 1 MONTH OR LESS 2. 2 MONTHS UP TO 3 MONTHS 3. OVER 3 MONTHS UP TO 6 MONTHS 4. OVER 6 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 18 MONTHS 6. OVER 18 MONTHS UP TO 2 YEARS 7. OVER 2 YEARS 0. NO ANSWER 
"Q.12. HOW FAR DID YOU GO IN SCHOOL* (DON,T INCLUDE BUSINESS COLLEGE, SPECIAL TRAINING OR POSTGRADUATE WORK.)  1. SOME GRADE SCHOOL 2. FINISHED GRADE SCHOOL 3. SOME HIGH SCHOOL BUT DID NOT FINISH 4. GRADUATED FROM HIGH SCHOOL 5. SOME COLLEGE BUT DID NOT FINISH 6. GRADUATED FROM COLLEGE 0. NO ANSWER "
"Q.13. HAVE YOU TAKEN ANY SPECIAL COURSES OF ANY KIND IN CIVILIAN LIFE* (THIS INCLUDES BUSINESS SCHOOL, NURSES, SCHOOL, POSTGRADUATE WORK OR ANYTHING ELSE.)  1. YES 2. NO 0. NO ANSWER "
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  1. KEPT HOUSE FOR MY HUSBAND OR MY FAMILY 2. NOT CHOSEN 
Q.14. WHICH OF THE FOLLOWING WERE YOU DOING JUST BEFORE YOU CAME INTO THE WAC (OR WAAC)*  5563 1. WORKING FULL-TIME FOR EMPLOYER 1095 2. NOT CHOSEN 
